[2018/8/28 - 0:17:13] {AA3333}AdmCmd{FFFF00}: LongBi (IP:14.169.169.173) was silent kicked boi LongBi, {FFFF00}Ly Do{FFFF00}: off ngu , a hiep nn
[2018/8/28 - 20:51:21] {AA3333}AdmCmd{FFFF00}: HAC (IP:42.113.162.119) was silent kicked boi LongBi, {FFFF00}Ly Do{FFFF00}: fake 
[2018/10/5 - 20:53:55] {AA3333}AdmCmd{FFFF00}: NPC 13 (IP:255.255.255.255) was kick boi Tobi Jr, {FFFF00}Ly Do{FFFF00}: 1
[2018/10/5 - 20:54:09] {AA3333}AdmCmd{FFFF00}: NPC 14 (IP:255.255.255.255) was kick boi Nguyen Long, {FFFF00}Ly Do{FFFF00}: ngu
[2021/7/11 - 16:51:51] {AA3333}AdmCmd{FFFF00}: Ryan Smith (IP:113.172.138.227) was silent kicked boi VGTA 02, {FFFF00}Ly Do{FFFF00}: a
[2021/7/11 - 18:05:27] {AA3333}AdmCmd{FFFF00}: Bin (IP:14.236.241.173) was kick boi Ryan Smith, {FFFF00}Ly Do{FFFF00}: a
[2021/7/17 - 10:59:09] {AA3333}AdmCmd{FFFF00}: rin (IP:14.236.246.167) was kick boi VGTA 02, {FFFF00}Ly Do{FFFF00}: relog
[2021/7/18 - 17:45:03] {AA3333}AdmCmd{FFFF00}: Kevin Over (IP:14.191.204.17) was kick boi Xander Archer, {FFFF00}Ly Do{FFFF00}: relog
[2021/7/18 - 17:52:40] {AA3333}AdmCmd{FFFF00}: Suu Nhi (IP:113.161.70.39) was kick boi Xander Archer, {FFFF00}Ly Do{FFFF00}: clone vao pha
[2021/7/18 - 19:23:40] {AA3333}AdmCmd{FFFF00}: Young Boiz (IP:171.252.188.26) was silent kicked boi TienTom, {FFFF00}Ly Do{FFFF00}: relog
[2021/7/19 - 0:24:22] {AA3333}AdmCmd{FFFF00}: Kurei Shendel (IP:42.119.80.116) was kick boi Xander Archer, {FFFF00}Ly Do{FFFF00}: relog
[2021/7/19 - 18:47:17] {AA3333}AdmCmd{FFFF00}: MAZUONG CHEESE (IP:171.225.250.155) was kick boi Nhi, {FFFF00}Ly Do{FFFF00}: ra chinh ten lai di
[2021/7/20 - 1:10:17] {AA3333}AdmCmd{FFFF00}: Big Smoke (IP:14.160.97.248) was kick boi Long, {FFFF00}Ly Do{FFFF00}: ra xoa ped 
[2021/7/20 - 18:22:01] {AA3333}AdmCmd{FFFF00}: Tu kaito (IP:171.252.189.44) was kick boi Zeus Afflecker, {FFFF00}Ly Do{FFFF00}: bao tri
[2021/7/21 - 0:17:20] {AA3333}AdmCmd{FFFF00}: k h (IP:113.170.194.242) was kick boi Long, {FFFF00}Ly Do{FFFF00}: NN,VD: Long_Nguyen
[2021/7/21 - 2:31:03] {AA3333}AdmCmd{FFFF00}: Long (IP:113.173.126.9) was silent kicked boi Long, {FFFF00}Ly Do{FFFF00}: bi du r , di ngu
[2021/7/21 - 18:33:59] {AA3333}AdmCmd{FFFF00}: Kita Smiths (IP:14.246.26.117) was kick boi Tran Trung Hau, {FFFF00}Ly Do{FFFF00}: pha truck ( lan nua 
[2021/7/22 - 11:50:25] {AA3333}AdmCmd{FFFF00}: NguyenLe An (IP:171.225.254.179) was kick boi Hoai Rinn, {FFFF00}Ly Do{FFFF00}: Cleo speed , canh cao x
[2021/7/23 - 19:41:34] {AA3333}AdmCmd{FFFF00}: DouP Handsome (IP:125.235.232.121) was kick boi Shi, {FFFF00}Ly Do{FFFF00}: PG 
